[-18.510295486450197, 0.07766084671020508, 31.6, [5, 200, 100, 1000, 1e-09, 10], 0.08152884683218126]
[-18.51837501525879, 0.08590164184570312, 23.2, [100, 200, 100, 100, 1e-06, 10], 0.0870656700501935]
[-18.48985481262207, 0.08226232528686524, 33.6, [5, 200, 100, 100, 1e-06, 10], 0.09460915499322205]
[-18.533802795410157, 0.09800820350646972, 39.6, [5, 200, 100, 100, 1e-09, 10], 0.09688827779374438]
[-18.538711547851562, 0.10135521888732911, 25.199999999999996, [100, 200, 100, 1000, 1e-06, 10], 0.10011086463928223]
[-18.522838973999026, 0.11276230812072754, 30.599999999999998, [100, 200, 100, 100, 1e-09, 10], 0.11264187781040216]
[-18.505624771118164, 0.12343144416809082, 23.0, [100, 200, 100, 1000, 1e-09, 10], 0.12658759709282208]
[-18.385679626464842, 0.08274202346801758, 34.0, [5, 200, 100, 1000, 1e-06, 10], 0.17338004225284714]
[-18.500590515136718, 0.2800924777984619, 26.2, [100, 500, 100, 1000, 1e-09, 10], 0.28144180418486836]
[-18.439855194091795, 0.2707720279693604, 29.799999999999997, [5, 500, 100, 100, 1e-09, 10], 0.2870849100532788]
[-18.440779876708984, 0.280108642578125, 31.8, [5, 500, 100, 1000, 1e-09, 10], 0.2955603212858911]
[-18.49545211791992, 0.29549970626831057, 26.8, [100, 500, 100, 1000, 1e-06, 10], 0.29741820803471314]
[-18.512373352050783, 0.30415959358215333, 25.599999999999998, [100, 500, 100, 100, 1e-09, 10], 0.3040581240139444]
[-18.170354461669923, 0.01341657638549805, 5.8, [5, 200, 100, 100, 1e-09, 1], 0.36855814457421915]
[-18.476223754882813, 0.41897158622741704, 44.800000000000004, [5, 500, 100, 1000, 1e-06, 10], 0.42237514676795535]
[-18.078713607788085, 0.010157203674316407, 4.4, [100, 200, 100, 100, 1e-09, 1], 0.4600842789615157]
[-18.454676818847656, 0.5130311012268066, 20.6, [100, 1000, 100, 100, 1e-06, 10], 0.5186400582888494]
[-18.050871658325196, 0.19038352966308594, 22.400000000000002, [5, 500, 100, 100, 1e-06, 10], 0.5232221186931783]
[-18.51741752624512, 0.5425960540771484, 37.0, [100, 500, 100, 100, 1e-06, 10], 0.5417703371946763]
[-18.316889572143555, 0.5356407642364502, 25.4, [100, 1000, 100, 1000, 1e-09, 10], 0.578605661841895]
[-18.201148986816406, 0.5620238780975342, 22.0, [5, 1000, 100, 1000, 1e-06, 10], 0.6545396527189711]
[-17.867780685424805, 0.05111689567565918, 20.4, [5, 1000, 20, 1000, 1e-06, 10], 0.672781905631507]
[-18.13360710144043, 0.5491013050079345, 22.800000000000004, [100, 1000, 100, 1000, 1e-06, 10], 0.6813639636772647]
[-18.497377395629883, 0.6828979969024658, 25.4, [100, 1000, 100, 100, 1e-09, 10], 0.6829057040938545]
[-17.78360061645508, 0.013570690155029298, 6.199999999999999, [5, 200, 100, 1000, 1e-09, 1], 0.7552115314740346]
[-17.698609542846683, 0.011590814590454102, 4.6, [100, 200, 100, 100, 1e-06, 1], 0.840165714638985]
[-17.660152435302734, 0.06115498542785645, 17.0, [100, 1000, 20, 1000, 1e-06, 10], 0.8805994537648474]
[-17.618486022949217, 0.008763599395751952, 4.0, [100, 200, 100, 1000, 1e-09, 1], 0.9202562446022245]
[-17.73881130218506, 0.5310822010040284, 20.799999999999997, [5, 1000, 100, 100, 1e-06, 10], 0.959462634432601]
[-17.578234100341795, 0.05304450988769532, 25.0, [100, 200, 20, 100, 1e-09, 10], 0.9618732677952793]
