Loc	Type	Name	RefSeq	 INSDC	Size (Mb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Nuc	Chr	1	NC_000001.11	CM000663.2	248.96	42.3	11,046	17	90	4,350	5,078	1,372
Nuc	Chr	2	NC_000002.12	CM000664.2	242.19	40.3	8,054	-	8	3,638	3,862	1,166
Nuc	Chr	3	NC_000003.12	CM000665.2	198.3	39.7	6,790	-	4	2,723	2,971	887
Nuc	Chr	4	NC_000004.12	CM000666.2	190.22	38.3	4,374	-	1	2,209	2,441	799
Nuc	Chr	5	NC_000005.10	CM000667.2	181.54	39.5	4,599	-	17	2,225	2,578	766
Nuc	Chr	6	NC_000006.12	CM000668.2	170.81	39.6	5,338	-	144	2,408	3,000	876
Nuc	Chr	7	NC_000007.14	CM000669.2	159.35	40.7	4,843	-	21	2,232	2,774	896
Nuc	Chr	8	NC_000008.11	CM000670.2	145.14	40.2	3,962	-	5	1,975	2,152	661
Nuc	Chr	9	NC_000009.12	CM000671.2	138.4	42.3	4,572	-	3	2,135	2,262	702
Nuc	Chr	10	NC_000010.11	CM000672.2	133.8	41.6	5,237	-	3	2,053	2,174	631
Nuc	Chr	11	NC_000011.10	CM000673.2	135.09	41.6	6,187	-	13	2,267	2,920	835
Nuc	Chr	12	NC_000012.12	CM000674.2	133.28	40.8	5,648	-	9	2,313	2,521	680
Nuc	Chr	13	NC_000013.11	CM000675.2	114.36	40.2	1,946	-	4	1,235	1,381	477
Nuc	Chr	14	NC_000014.9	CM000676.2	107.04	42.2	3,252	-	18	1,704	2,055	583
Nuc	Chr	15	NC_000015.10	CM000677.2	101.99	43.4	3,436	-	9	1,778	1,814	555
Nuc	Chr	16	NC_000016.10	CM000678.2	90.34	45.1	4,453	-	27	1,700	1,920	451
Nuc	Chr	17	NC_000017.11	CM000679.2	83.26	45.3	6,004	-	33	2,131	2,432	541
Nuc	Chr	18	NC_000018.10	CM000680.2	80.37	39.8	1,812	-	1	1,013	988	295
Nuc	Chr	19	NC_000019.10	CM000681.2	58.62	47.9	6,452	-	6	1,750	2,481	514
Nuc	Chr	20	NC_000020.11	CM000682.2	64.44	43.9	2,794	-	-	1,276	1,349	329
Nuc	Chr	21	NC_000021.9	CM000683.2	46.71	42.2	1,240	-	1	687	756	202
Nuc	Chr	22	NC_000022.11	CM000684.2	50.82	47.7	2,493	-	-	965	1,172	348
Nuc	Chr	X	NC_000023.11	CM000685.2	156.04	39.6	3,739	-	4	1,196	2,158	859
Nuc	Chr	Y	NC_000024.10	CM000686.2	57.23	45.4	325	-	-	298	577	395
Nuc	--	MT	NC_012920.1	J01415.2	0.02	44.4	13	2	22	-	37	-
Nuc	Un	-	--------	--------	169.03	44.3	6,143	17	161	3,437	6,543	1,878
